"","patent_id","ipc_section"
"1025","10000648","C"
"1026","10000648","B"
"1027","10000649","C"
"1028","10000650","B"
"1029","10000650","C"
"1030","10000651","H"
"1031","10000651","C"
"1032","10000651","B"
"1033","10000652","C"
"1034","10000652","H"
"1035","10000653","C"
"1036","10000653","B"
"1037","10000654","C"
"1038","10000654","B"
"1039","10000655","C"
"1040","10000656","C"
"1041","10000657","C"
"1042","10000657","G"
"1043","10000658","B"
"1044","10000658","C"
"1045","10000659","C"
"1046","10000660","C"
"1047","10000661","C"
"1048","10000662","C"
"1049","10000662","D"
"1050","10000662","B"
"1051","10000663","C"
"1052","10000664","B"
"1053","10000664","C"
"1054","10000664","G"
"1055","10000664","H"
"1056","10000665","C"
"1057","10000665","H"
"1058","10000666","C"
"1059","10000667","B"
"1060","10000667","C"
"1061","10000668","C"
"1062","10000669","H"
"1063","10000669","B"
"1064","10000669","C"
"1065","10000670","C"
"1066","10000670","H"
"1067","10000671","C"
"1068","10000671","H"
"1069","10000672","C"
"1070","10000673","C"
"1071","10000674","C"
"1072","10000675","C"
"1073","10000675","H"
"1074","10000676","C"
"1075","10000676","B"
"1076","10000677","C"
"1077","10000677","B"
"1078","10000678","C"
"1079","10000678","F"
"1080","10000679","B"
"1081","10000679","C"
"1082","10000679","H"
"1083","10000680","C"
"1084","10000680","F"
"1085","10000681","E"
"1086","10000681","C"
"1087","10000682","C"
"1088","10000682","E"
"1089","10000683","C"
"1090","10000683","E"
"1091","10000684","C"
"1092","10000685","C"
"1093","10000686","E"
"1094","10000686","C"
"1095","10000687","E"
"1096","10000687","C"
"1097","10000687","G"
"1098","10000688","C"
"1099","10000688","E"
"1100","10000689","C"
"1101","10000689","E"
"1102","10000690","C"
"1103","10000690","E"
"1104","10000691","E"
"1105","10000691","C"
"1106","10000692","C"
"1107","10000693","C"
"1108","10000693","E"
"1109","10000694","C"
"1110","10000694","H"
"1111","10000695","C"
"1112","10000695","B"
"1113","10000695","H"
"1114","10000696","C"
"1115","10000696","H"
"1116","10000696","B"
"1117","10000697","H"
"1118","10000697","C"
"1119","10000697","F"
"1120","10000697","G"
"1121","10000698","G"
"1122","10000698","C"
"1123","10000699","C"
"1124","10000699","H"
"1125","10000699","G"
"1126","10000699","B"
"1127","10000700","G"
"1128","10000700","C"
"1129","10000701","C"
"1130","10000701","G"
"1131","10000702","C"
"1132","10000703","C"
"1133","10000704","C"
"1134","10000704","F"
"1135","10000704","G"
"1136","10000704","H"
"1137","10000705","C"
"1138","10000706","C"
"1139","10000706","B"
"1140","10000706","F"
"1141","10000706","G"
"1142","10000707","C"
"1143","10000707","B"
"1144","10000708","C"
"1145","10000708","F"
"1146","10000709","C"
"1147","10000709","B"
"1148","10000710","C"
"1149","10000711","C"
"1150","10000712","C"
"1151","10000713","C"
"1152","10000713","B"
"1153","10000714","C"
"1154","10000714","B"
"1155","10000715","C"
"1156","10000716","C"
"1157","10000716","G"
"1158","10000717","C"
"1159","10000718","C"
"1160","10000719","C"
"1161","10000719","F"
"1162","10000720","C"
"1163","10000721","C"
"1164","10000722","C"
"1165","10000723","C"
"1166","10000723","B"
"1167","10000724","C"
"1168","10000725","C"
"1169","10000726","C"
"1170","10000727","A"
"1171","10000727","C"
"1172","10000728","C"
"1173","10000729","B"
"1174","10000729","C"
"1175","10000730","C"
"1176","10000731","C"
"1177","10000732","C"
"1178","10000732","B"
"1179","10000733","C"
"1180","10000733","G"
"1181","10000734","C"
"1182","10000734","G"
"1183","10000735","C"
"1184","10000735","A"
"1185","10000736","A"
"1186","10000736","C"
"1187","10000737","A"
"1188","10000737","C"
"1189","10000738","C"
"1190","10000738","A"
"1191","10000739","C"
"1192","10000740","C"
"1193","10000740","G"
"1194","10000741","C"
"1195","10000741","A"
"1196","10000742","C"
"1197","10000742","B"
"1198","10000743","C"
"1199","10000744","C"
"1200","10000745","C"
"1201","10000745","A"
"1202","10000746","C"
"1203","10000746","A"
"1204","10000747","C"
"1205","10000748","A"
"1206","10000748","C"
"1207","10000749","C"
"1208","10000750","C"
"1209","10000751","C"
"1210","10000751","B"
"1211","10000752","C"
"1212","10000752","A"
"1213","10000753","C"
"1214","10000754","C"
"1215","10000755","C"
"1216","10000755","A"
"1217","10000756","A"
"1218","10000756","C"
"1219","10000757","C"
"1220","10000757","A"
"1221","10000758","C"
"1222","10000759","C"
"1223","10000760","C"
"1224","10000760","A"
"1225","10000761","C"
"1226","10000761","A"
"1227","10000762","C"
"1228","10000763","C"
"1229","10000764","C"
"1230","10000765","C"
"1231","10000765","G"
"1232","10000766","C"
"1233","10000767","C"
"1234","10000767","A"
"1235","10000768","C"
"1236","10000768","A"
"1237","10000769","C"
"1238","10000770","C"
"1239","10000771","A"
"1240","10000771","C"
"1241","10000772","C"
"1242","10000773","C"
"1243","10000774","C"
"1244","10000775","C"
"1245","10000776","C"
"1246","10000777","C"
"1247","10000778","C"
"1248","10000779","C"
